PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
68,435977.0621,182923.743,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,436450.9942,183646.0097,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,437402.6497,183687.597,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,437710.124,184558.7529,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,438025.8742,185410.5516,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,438143.6558,185780.7806,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,438557.4378,186186.9786,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,438844.9712,187068.365,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,438303.5335,187885.7807,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,438969.1258,188255.2725,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
